Fecha,TerminoCosteHorario,TipoPrecio,Hour,Ctd
01/01/2025,FEU,Z24,1,0.18278526062
01/01/2025,FEU,Z14,1,0.18278526062
01/01/2025,FEU,Z24,10,0.423149353483
01/01/2025,FEU,Z14,10,0.423149353483
01/01/2025,FEU,Z24,11,0.074950803366
01/01/2025,FEU,Z14,11,0.074950803366
01/01/2025,FEU,Z24,12,0.049752809902
01/01/2025,FEU,Z14,12,0.049752809902
01/01/2025,FEU,Z24,13,0.045809314954
01/01/2025,FEU,Z14,13,0.045809314954
01/01/2025,FEU,Z24,14,0.051574119196
01/01/2025,FEU,Z14,14,0.051574119196
01/01/2025,FEU,Z24,15,0.041727798765
01/01/2025,FEU,Z14,15,0.041727798765
01/01/2025,FEU,Z24,16,0.029119697797
01/01/2025,FEU,Z14,16,0.029119697797
01/01/2025,FEU,Z24,17,0.149060833692
01/01/2025,FEU,Z14,17,0.149060833692
01/01/2025,FEU,Z24,18,0.272856855966
01/01/2025,FEU,Z14,18,0.272856855966
01/01/2025,FEU,Z24,19,0.191182776725
01/01/2025,FEU,Z14,19,0.191182776725
01/01/2025,FEU,Z24,2,0.183189805378
01/01/2025,FEU,Z14,2,0.183189805378
01/01/2025,FEU,Z24,20,0.191570313483
01/01/2025,FEU,Z14,20,0.191570313483
01/01/2025,FEU,Z24,21,0.194051282672
01/01/2025,FEU,Z14,21,0.194051282672
01/01/2025,FEU,Z24,22,0.195872457483
01/01/2025,FEU,Z14,22,0.195872457483
01/01/2025,FEU,Z24,23,0.193006035809
01/01/2025,FEU,Z14,23,0.193006035809
01/01/2025,FEU,Z24,24,0.181254236894
01/01/2025,FEU,Z14,24,0.181254236894
01/01/2025,FEU,Z24,3,0.188740310031
01/01/2025,FEU,Z14,3,0.188740310031
01/01/2025,FEU,Z24,4,0.187773540305
01/01/2025,FEU,Z14,4,0.187773540305
01/01/2025,FEU,Z24,5,0.180194913821
01/01/2025,FEU,Z14,5,0.180194913821
01/01/2025,FEU,Z24,6,0.17230186739
01/01/2025,FEU,Z14,6,0.17230186739
01/01/2025,FEU,Z24,7,0.171276901442
01/01/2025,FEU,Z14,7,0.171276901442
01/01/2025,FEU,Z24,8,0.167896469979
01/01/2025,FEU,Z14,8,0.167896469979
01/01/2025,FEU,Z24,9,0.165975363652
01/01/2025,FEU,Z14,9,0.165975363652
01/02/2025,FEU,Z24,1,0.168487606042
01/02/2025,FEU,Z14,1,0.168487606042
01/02/2025,FEU,Z24,10,0.200461922728
01/02/2025,FEU,Z14,10,0.200461922728
01/02/2025,FEU,Z24,11,0.175475118694
01/02/2025,FEU,Z14,11,0.241155139979
01/02/2025,FEU,Z24,12,0.238537430158
01/02/2025,FEU,Z14,12,0.238537430158
01/02/2025,FEU,Z24,13,0.235877044337
01/02/2025,FEU,Z14,13,0.235877044337
01/02/2025,FEU,Z24,14,0.226462058515
01/02/2025,FEU,Z14,14,0.226462058515
01/02/2025,FEU,Z24,15,0.233102984158
01/02/2025,FEU,Z14,15,0.167449510873
01/02/2025,FEU,Z24,16,0.175302361443
01/02/2025,FEU,Z14,16,0.175302361443
01/02/2025,FEU,Z24,17,0.186566330728
01/02/2025,FEU,Z14,17,0.186566330728
01/02/2025,FEU,Z24,18,0.199704427907
01/02/2025,FEU,Z14,18,0.199704427907
01/02/2025,FEU,Z24,19,0.208447028371
01/02/2025,FEU,Z14,19,0.274395148477
01/02/2025,FEU,Z24,2,0.156025108612
01/02/2025,FEU,Z14,2,0.156025108612
01/02/2025,FEU,Z24,20,0.277244616583
01/02/2025,FEU,Z14,20,0.277244616583
01/02/2025,FEU,Z24,21,0.278055259689
01/02/2025,FEU,Z14,21,0.278055259689
01/02/2025,FEU,Z24,22,0.274909509617
01/02/2025,FEU,Z14,22,0.274909509617
01/02/2025,FEU,Z24,23,0.269730759366
01/02/2025,FEU,Z14,23,0.20379876526
01/02/2025,FEU,Z24,24,0.190990235187
01/02/2025,FEU,Z14,24,0.190990235187
01/02/2025,FEU,Z24,3,0.141677559897
01/02/2025,FEU,Z14,3,0.141677559897
01/02/2025,FEU,Z24,4,0.142580578361
01/02/2025,FEU,Z14,4,0.142580578361
01/02/2025,FEU,Z24,5,0.142566938361
01/02/2025,FEU,Z14,5,0.142566938361
01/02/2025,FEU,Z24,6,0.140714947612
01/02/2025,FEU,Z14,6,0.140714947612
01/02/2025,FEU,Z24,7,0.161726711008
01/02/2025,FEU,Z14,7,0.161726711008
01/02/2025,FEU,Z24,8,0.168184611404
01/02/2025,FEU,Z14,8,0.168184611404
01/02/2025,FEU,Z24,9,0.201943316371
01/02/2025,FEU,Z14,9,0.201943316371
01/03/2025,FEU,Z24,1,0.154545325115
01/03/2025,FEU,Z14,1,0.154545325115
01/03/2025,FEU,Z24,10,0.190662841003
01/03/2025,FEU,Z14,10,0.190662841003
01/03/2025,FEU,Z24,11,0.185668394186
01/03/2025,FEU,Z14,11,0.251383745397
01/03/2025,FEU,Z24,12,0.240306998397
01/03/2025,FEU,Z14,12,0.240306998397
01/03/2025,FEU,Z24,13,0.2271576627
01/03/2025,FEU,Z14,13,0.2271576627
01/03/2025,FEU,Z24,14,0.218510791003
01/03/2025,FEU,Z14,14,0.218510791003
01/03/2025,FEU,Z24,15,0.218111491911
01/03/2025,FEU,Z14,15,0.1525062727
01/03/2025,FEU,Z24,16,0.158286583122
01/03/2025,FEU,Z14,16,0.158286583122
01/03/2025,FEU,Z24,17,0.176304000333
01/03/2025,FEU,Z14,17,0.176304000333
01/03/2025,FEU,Z24,18,0.198422653636
01/03/2025,FEU,Z14,18,0.198422653636
01/03/2025,FEU,Z24,19,0.203944036847
01/03/2025,FEU,Z14,19,0.269727583059
01/03/2025,FEU,Z24,2,0.141338621537
01/03/2025,FEU,Z14,2,0.141338621537
01/03/2025,FEU,Z24,20,0.271390953967
01/03/2025,FEU,Z14,20,0.271390953967
01/03/2025,FEU,Z24,21,0.271651220573
01/03/2025,FEU,Z14,21,0.271651220573
01/03/2025,FEU,Z24,22,0.270223678087
01/03/2025,FEU,Z14,22,0.270223678087
01/03/2025,FEU,Z24,23,0.267200127115
01/03/2025,FEU,Z14,23,0.201136351298
01/03/2025,FEU,Z24,24,0.193378002812
01/03/2025,FEU,Z14,24,0.193378002812
01/03/2025,FEU,Z24,3,0.134847941051
01/03/2025,FEU,Z14,3,0.134847941051
01/03/2025,FEU,Z24,4,0.131537138262
01/03/2025,FEU,Z14,4,0.131537138262
01/03/2025,FEU,Z24,5,0.126831528959
01/03/2025,FEU,Z14,5,0.126831528959
01/03/2025,FEU,Z24,6,0.129217419748
01/03/2025,FEU,Z14,6,0.129217419748
01/03/2025,FEU,Z24,7,0.137408110298
01/03/2025,FEU,Z14,7,0.137408110298
01/03/2025,FEU,Z24,8,0.156630094242
01/03/2025,FEU,Z14,8,0.156630094242
01/03/2025,FEU,Z24,9,0.193600407608
01/03/2025,FEU,Z14,9,0.193600407608
01/04/2025,FEU,Z24,1,0.146269567501
01/04/2025,FEU,Z14,1,0.146269567501
01/04/2025,FEU,Z24,10,0.167265286384
01/04/2025,FEU,Z14,10,0.167265286384
01/04/2025,FEU,Z24,11,0.150925619609
01/04/2025,FEU,Z14,11,0.150925619609
01/04/2025,FEU,Z24,12,0.128069356979
01/04/2025,FEU,Z14,12,0.128069356979
01/04/2025,FEU,Z24,13,0.107624232492
01/04/2025,FEU,Z14,13,0.107624232492
01/04/2025,FEU,Z24,14,0.107133710348
01/04/2025,FEU,Z14,14,0.107133710348
01/04/2025,FEU,Z24,15,0.11503080715
01/04/2025,FEU,Z14,15,0.11503080715
01/04/2025,FEU,Z24,16,0.127845664753
01/04/2025,FEU,Z14,16,0.127845664753
01/04/2025,FEU,Z24,17,0.157853394042
01/04/2025,FEU,Z14,17,0.157853394042
01/04/2025,FEU,Z24,18,0.174479672528
01/04/2025,FEU,Z14,18,0.174479672528
01/04/2025,FEU,Z24,19,0.177555109069
