Fecha,TerminoCosteHorario,TipoPrecio,Hour,Ctd,datetime
2020-01-02,FEU,Z03,1,0.05612904098,2020-01-02 01:00:00
2020-01-02,FEU,Z01,10,0.10685754854,2020-01-02 10:00:00
2020-01-02,FEU,Z02,10,0.05845386936,2020-01-02 10:00:00
2020-01-02,FEU,Z03,10,0.06174128044,2020-01-02 10:00:00
2020-01-02,FEU,Z01,11,0.1064359466,2020-01-02 11:00:00
2020-01-02,FEU,Z02,11,0.0581025174,2020-01-02 11:00:00
2020-01-02,FEU,Z03,11,0.06127843252,2020-01-02 11:00:00
2020-01-02,FEU,Z01,12,0.10583668262,2020-01-02 12:00:00
2020-01-02,FEU,Z02,12,0.05752581642,2020-01-02 12:00:00
2020-01-02,FEU,Z03,12,0.06073017452,2020-01-02 12:00:00
2020-01-02,FEU,Z01,13,0.10556068676,2020-01-02 13:00:00
2020-01-02,FEU,Z02,13,0.12418973458,2020-01-02 13:00:00
2020-01-02,FEU,Z03,13,0.06047976266,2020-01-02 13:00:00
2020-01-02,FEU,Z01,14,0.1042178667,2020-01-02 14:00:00
2020-01-02,FEU,Z02,14,0.12283574252,2020-01-02 14:00:00
2020-01-02,FEU,Z03,14,0.12283574252,2020-01-02 14:00:00
2020-01-02,FEU,Z01,15,0.10348699262,2020-01-02 15:00:00
2020-01-02,FEU,Z02,15,0.12209822244,2020-01-02 15:00:00
2020-01-02,FEU,Z03,15,0.12209822244,2020-01-02 15:00:00
2020-01-02,FEU,Z01,16,0.10360982452,2020-01-02 16:00:00
2020-01-02,FEU,Z02,16,0.12227165632,2020-01-02 16:00:00
2020-01-02,FEU,Z03,16,0.12227165632,2020-01-02 16:00:00
2020-01-02,FEU,Z01,17,0.10554288146,2020-01-02 17:00:00
2020-01-02,FEU,Z02,17,0.12422027226,2020-01-02 17:00:00
2020-01-02,FEU,Z03,17,0.12422027226,2020-01-02 17:00:00
2020-01-02,FEU,Z01,18,0.10758686642,2020-01-02 18:00:00
2020-01-02,FEU,Z02,18,0.12628099322,2020-01-02 18:00:00
2020-01-02,FEU,Z03,18,0.12628099322,2020-01-02 18:00:00
2020-01-02,FEU,Z01,19,0.10833399644,2020-01-02 19:00:00
2020-01-02,FEU,Z02,19,0.12703478024,2020-01-02 19:00:00
2020-01-02,FEU,Z03,19,0.12703478024,2020-01-02 19:00:00
2020-01-02,FEU,Z01,2,0.09856500688,2020-01-02 02:00:00
2020-01-02,FEU,Z02,2,0.04950362008,2020-01-02 02:00:00
2020-01-02,FEU,Z03,2,0.04644400886,2020-01-02 02:00:00
2020-01-02,FEU,Z01,20,0.1075687964,2020-01-02 20:00:00
2020-01-02,FEU,Z02,20,0.1262624562,2020-01-02 20:00:00
2020-01-02,FEU,Z03,20,0.1262624562,2020-01-02 20:00:00
2020-01-02,FEU,Z01,21,0.10491062432,2020-01-02 21:00:00
2020-01-02,FEU,Z02,21,0.1236321511,2020-01-02 21:00:00
2020-01-02,FEU,Z03,21,0.1236321511,2020-01-02 21:00:00
2020-01-02,FEU,Z01,22,0.1032627962,2020-01-02 22:00:00
